Name,Era,Description,Release Date,Web Link,Type
"CHVRCHES puts on an intimate, dynamic show",The Bones of What You Believe,The Triangle,27.09.2013,https://www.thetriangle.org/entertainment/chvrches/,Review
CHVRCHES schedule outdoor show at Hollywood Forever Cemetery ,Every Open Eye,Grimy Goods,17.05.2016,https://www.grimygoods.com/2016/05/17/presale-tickets-chvrches-hollywood-forever-cemetery-new-song-warning-call/#google_vignette,Article
CHVRCHES en el Plaza Condesa,Every Open Eye,Warp,29.09.2016,https://archivo.warp.la/gigs/chvrches-plaza-condesa-warpgigs/,Review
"Una noche íntima con el trío escocés de synth-pop: CHVRCHES @ El Plaza Condesa, CDMX",Every Open Eye,Anwar,29.09.2016,https://anwar.mx/2016/10/05/chvrches-el-plaza-condesa-cdmx/,Review
CHVRCHES EN EL PLAZA CONDESA,Every Open Eye,Indie Rocks,29.09.2016,https://www.indierocks.mx/musica/conciertos/chvrches-en-el-plaza-condesa/,Review
Chvrches @ El Plaza Condesa,Every Open Eye,MHR,29.09.2016,https://www.mehaceruido.com/2016/09/chvrches-el-plaza-condesa/#google_vignette,Review
Chvrches @ Hollywood Forever Cemetery 10/3,Every Open Eye,mxdwn,20.09.2016,https://music.mxdwn.com/2016/09/20/los-angeles/chvrches-hollywood-forever-cemetery-103/,Article
"CHVRCHES, Best Coast pack punch at Hollywood Forever",Every Open Eye,Pass the Aux,04.10.2016,https://passtheaux.co/chvrches-best-coast-hollywood-forever/,Review
REVIEW: Phoenix Rises Again for CHVRCHES’ Highly-Anticipated Return (10-6-16),Every Open Eye,Phoenix Rises,08.10.2016,https://www.burninghotevents.com/2016/10/08/chvrches_10-6-2016/,Review
CHVRCHES @ TERMINAL 5 - 02.05.2014,The Bones of What You Believe,The Aquarian,25.06.2014,https://www.theaquarian.com/2014/06/25/chvrches-terminal-5/,Review
Music Park: CHVRCHES @ Echostage — 10/17/16,Every Open Eye,Parklife DC ,24.10.2016,https://parklifedc.com/2016/10/24/music-park-chvrches-echostage-101716/#google_vignette,Review
"Don’t Miss: CHVRCHES @ Echostage, 10/18/16",Every Open Eye,Parklife DC ,04.08.2016,"https://parklifedc.com/2016/08/04/dont-miss-chvrches-echostage-101816/#:~:text=Photo%20by%20Mickey%20McCarter),and%20promptly%20sold%20it%20out.",Article
"Concert Preview: CHVRCHES, 10/17 & 10/18 Echostage",Every Open Eye,The George Town Voice,13.10.2016,https://georgetownvoice.com/2016/10/13/concert-preview-chvrches-1017-1018-echostage/,Article
Chvrches debut four new songs from ‘Love Is Dead’ as they kick off 2018 tour,Love Is Dead,NME,21.05.2018,https://www.nme.com/news/music/chvrches-debut-four-new-songs-love-dead-kick-2018-tour-2321835,Article
Chvrches Debut New Songs At Toronto Show,Love Is Dead,RTT News,22.05.2018,"https://www.rttnews.com/2897242/chvrches-debut-new-songs-at-toronto-show.aspx#:~:text=By%20RTTNews%20Staff%20Writer%20✉,Entertainment%20News",Article
Chvrches Debut 4 Love Is Dead,Love Is Dead,Stereogum,20.05.2018,https://stereogum.com/1997071/chvrches-debut-4-love-is-dead-songs-in-toronto/news,Review
