10.06.2021,Screen Violence,,,UK,Glasgow,private Venue
01.01.2023,Screen Violence,Falls Music Festival New South Wales 2022,,Australia,Byron Bay,North Byron Parklands,Festival Set,x
06.01.2023,Screen Violence,Heaps Good Festival 2023,,Australia,Adelaide,Adelaide Showground,Festival Set,x
08.01.2023,Screen Violence,Falls Music Festival Fremantle 2023,,Australia,Fremantle,Fremantle Park,Festival Set,x
11.01.2023,Screen Violence,,,Japan,Tokyo,Zepp Haneda,Headline Show,x avkv
12.01.2023,Screen Violence,,,Japan,Osaka,Nanba Hatch,Headline Show,x avkv
14.01.2023,Screen Violence,iHeartRadio ALTer EGO 2023,,USA,"Inglewood, CA",Kia Forum,Radio / TV,x avkv
10.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
11.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
13.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
14.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
16.03.2023,Screen Violence,,,Brazil,Sao Paulo,Audio,Headline Show,o
16.03.2023,Screen Violence,,,Brazil,Sao Paulo,Audio,Headline Show,o
17.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
18.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
21.03.2023,Screen Violence,,,Brazil,Curitiba,Estadio Couto Pereira,Opener
22.03.2023,Screen Violence,,,Brazil,Curitiba,Estadio Couto Pereira,Opener
24.03.2023,Screen Violence,,,Brazil,Rio de Janeiro,Sacadura 154,Headline Show,x avkv
25.03.2023,Screen Violence,,,Brazil,Rio de Janeiro,Estadio Olimpico Nilton Santos,Opener,x avkv
26.03.2023,Screen Violence,,,Brazil,Rio de Janeiro,Estadio Olimpico Nilton Santos,Opener,x avkv
28.03.2023,Screen Violence,,,Brazil,Rio de Janeiro,Estadio Olimpico Nilton Santos,Opener
03.04.2023,Screen Violence,,,USA,"New York, NY",The Tonight Show,Radio / TV
24.05.2023,Screen Violence,,,Spain,Barcelona,Estadi Olimpic Lluis Companys,Opener
25.05.2023,Screen Violence,,,Spain,Barcelona,Estadi Olimpic Lluis Companys,Opener
27.05.2023,Screen Violence,,,Spain,Barcelona,Estadi Olimpic Lluis Companys,Opener
28.05.2023,Screen Violence,,,Spain,Barcelona,Estadi Olimpic Lluis Companys,Opener
31.05.2023,Screen Violence,,,UK,Manchester,Etihad Stadium,Opener
01.06.2023,Screen Violence,,,UK,Manchester,Etihad Stadium,Opener
03.06.2023,Screen Violence,,,UK,Manchester,Etihad Stadium,Opener
04.06.2023,Screen Violence,,,UK,Manchester,Etihad Stadium,Opener
06.06.2023,Screen Violence,,,UK,Cardiff,Principality Stadium,Opener
07.06.2023,Screen Violence,,,UK,Cardiff,Principality Stadium,Opener
09.06.2023,Screen Violence,,,UK,Nottingham,Rock City,Headline Show,x
10.06.2023,Screen Violence,,,UK,Glasgow,Barrowland,Headline Show,x avkv
11.06.2023,Screen Violence,,,UK,Glasgow,Barrowland,Headline Show,x avkv
12.06.2023,Screen Violence,,,UK,Dundee,Fat Sam's,Headline Show,x avkv
17.06.2023,Screen Violence,Hurricane Festival 2023,,Germany,Scheeßel,Eichenring,Festival Set
18.06.2023,Screen Violence,Southside Festival 2023,,Germany,Neuhausen ob Eck,take-off GewerbePark,Festival Set
21.06.2023,Screen Violence,,,Italy,Naples,Stadio Diego Armando Maradona,Opener
22.06.2023,Screen Violence,,,Italy,Naples,Stadio Diego Armando Maradona,Opener
23.06.2023,Screen Violence,Glastonbury Festival 2023,,UK,Pilton,Worthy Farm,Festival Set
25.06.2023,Screen Violence,,,Italy,Milan,Stadio Guiseppe Meazza,Opener
26.06.2023,Screen Violence,,,Italy,Milan,Stadio Guiseppe Meazza,Opener
28.06.2023,Screen Violence,,,Italy,Milan,Stadio Guiseppe Meazza,Opener
29.06.2023,Screen Violence,,,Italy,Milan,Stadio Guiseppe Meazza,Opener
