Date,Daytime,Era,Event,Tour,Description,Top,Country,City,Venue,Type,Supported By,Supporting,Setlist.fm,Discussion
21.05.2011,,Blue Sky Archives EP,,,,,UK,Glasgow,Captain’s Rest
21.06.2012,,The Bones of What You Believe,,Shark Week,VIC GALLOWAY PRESENTS…,Top,UK,Edinburgh,Electric Circus,Opener,,"Discopolis, Dead Boy Robotics, Die Hard",https://www.setlist.fm/setlist/chvrches/2012/electric-circus-edinburgh-scotland-73885edd.html,"Acording to https://web.archive.org/web/20120602082745/http://www.theelectriccircus.biz/live-music/ the show is titled ""VIC GALLOWAY PRESENTS…DISCOPOLIS,DEAD BOY ROBOTICS,DIE HARD & SHARK WEEK
Thursday 21st JUN (£4.00)
VIC GALLOWAY PRESENTS…DISCOPOLIS,DEAD BOY ROBOTICS,DIE HARD & SHARK WEEK
MORE INFO
20.07.2013,,The Bones of What You Believe,,Depeche Mode Delta Machine Tour and Festivals - Summer 2013,Ferropolis,,Germany,Gräfenhainichen,Melt Festival 2013,Festival Set,,,https://www.setlist.fm/setlist/chvrches/2013/ferropolis-grafenhainichen-germany-3bc69898.html
21.07.2013,,The Bones of What You Believe,,Depeche Mode Delta Machine Tour and Festivals - Summer 2013,Recinto de Festivales de benicassim,,Spain,Benicassim,Benicàssim 2013,Festival Set
23.07.2013,,The Bones of What You Believe,,Depeche Mode Delta Machine Tour and Festivals - Summer 2013,Synot Tip Arena,,Czechia,Prague,Delta Machine Tour,Opener,,Depeche Mode,https://www.setlist.fm/setlist/chvrches/2013/synot-tip-arena-prague-czechia-3c65d03.html
25.07.2013,,The Bones of What You Believe,,Depeche Mode Delta Machine Tour and Festivals - Summer 2013,Sadtion Narodowy,,Poland,Warsaw,Delta Machine Tour,Opener,,Depeche Mode,https://www.setlist.fm/setlist/chvrches/2013/stadion-narodowy-warsaw-poland-43c68fbb.html
02.08.2013,,The Bones of What You Believe,,CHVRCHES Australia 2013 - Announced 10.4.2013,,,Australia,Sydney,Oxford Art Factory,Headline Show,,,https://www.setlist.fm/setlist/chvrches/2013/oxford-art-factory-sydney-australia-13c6e969.html
03.08.2013,,The Bones of What You Believe,,CHVRCHES Australia 2013 - Announced 10.4.2013,,,Australia,Sydney,Oxford Art Factory,Headline Show
05.08.2013,,The Bones of What You Believe,,CHVRCHES Australia 2013 - Announced 10.4.2013,,,Australia,Melbourne,Corner Hotel,Headline Show,,City Calm Down,https://www.setlist.fm/setlist/chvrches/2013/corner-hotel-melbourne-australia-2bc6dcde.html
10.08.2013,,The Bones of What You Believe,,Festivals Summer 2013 - Announced 26.4.2013,Makuhari Messe Kokusai Tenjijou,,Japan,"Tokyo, Chiba",Summer Sonic Tokyo 2013,Festival Set,,,https://www.setlist.fm/setlist/chvrches/2013/makuhari-messe-kokusai-tenjijou-hall-4-chiba-japan-1bc6c96c.html
11.08.2013,,The Bones of What You Believe,,Festivals Summer 2013 - Announced 26.4.2013,Maishima Arena,,Japan,Osaka,Summer Sonic Osaka 2013,Festival Set
16.08.2013,,The Bones of What You Believe,,Festivals Summer 2013 - Announced 26.4.2013,Domein Kiewit,,Belgium,Hasselt,Pukkelpop 2013,Festival Set
17.08.2013,,The Bones of What You Believe,,Festivals Summer 2013 - Announced 26.4.2013,Evenemententerrein Walibi,,Netherlands,Biddinghuizen,Lowlands 2013,Festival Set
18.08.2013,,The Bones of What You Believe,,Festivals Summer 2013 - Announced 26.4.2013,Elbinsel,,Germany,Hamburg,MS Dockville 2013,Festival Set
23.08.2013,,The Bones of What You Believe,,Festivals Summer 2013 - Announced 26.4.2013,little John's Farm,,UK,Reading,Reading Festival 2013,Festival Set,,,https://www.setlist.fm/setlist/chvrches/2013/little-johns-farm-reading-england-23c60c17.html
24.08.2013,,The Bones of What You Believe,,Festivals Summer 2013 - Announced 26.4.2013,Bramham Park,,UK,Bramham,Leeds Festival 2013,Festival Set
25.08.2013,,The Bones of What You Believe,,Festivals Summer 2013 - Announced 26.4.2013,Domaine national de Saint-Cloud,,France,Saint-Cloud,Rock en Seine 2013,Festival Set
01.09.2013,,The Bones of What You Believe,,Festivals Summer 2013 - Announced 26.4.2013,Stradbally Hall,,Ireland,Stradbally,Electric Picnic 2013,Festival Set
04.09.2013,,The Bones of What You Believe,,North American Tour - September/November 2013 - Announced 21.6.2013,Roseland Theater,,USA,"Portland, OR ",Musicfest NW 2013,Festival Set
05.09.2013,Early,The Bones of What You Believe,,North American Tour - September/November 2013 - Announced 21.6.2013,Doug Fir Lounge,,USA,"Portland, OR ","Musicfest NW 2013, Early Morning Set",Festival Set,,,https://www.setlist.fm/setlist/chvrches/2013/doug-fir-lounge-portland-or-bc659ce.html
05.09.2013,Late,The Bones of What You Believe,,North American Tour - September/November 2013 - Announced 21.6.2013,,,Canada,"Vancouver, BC",Commodore Ballroom,Headline Show,XXYYXX,,https://www.setlist.fm/setlist/chvrches/2013/commodore-ballroom-vancouver-bc-canada-53c65b49.html
06.09.2013,,The Bones of What You Believe,,North American Tour - September/November 2013 - Announced 21.6.2013,,,USA,"Seattle, WA ",Showbox at the Market,Headline Show,XXYYXX
09.09.2013,,The Bones of What You Believe,,North American Tour - September/November 2013 - Announced 21.6.2013,,,USA,"Minneapolis, MN",First Avenue,Headline Show,XXYYXX,,https://www.setlist.fm/setlist/chvrches/2013/first-avenue-minneapolis-mn-1bc64dfc.html
10.09.2013,Early,The Bones of What You Believe,,North American Tour - September/November 2013 - Announced 21.6.2013,,,USA,"Minneapolis, MN",The Current Studios,Radio / TV
10.09.2013,Late,The Bones of What You Believe,,North American Tour - September/November 2013 - Announced 21.6.2013,,,USA,"Chicago, IL ",Lincoln Hall,Headline Show,XXYYXX,,https://www.setlist.fm/setlist/chvrches/2013/lincoln-hall-chicago-il-63c64e17.html
11.09.2013,Early,The Bones of What You Believe,,North American Tour - September/November 2013 - Announced 21.6.2013,Pabst Theatre Pub,,USA,"Milwaukee, WI",Lunchtime gig with 3 songs and Q&A,Radio / TV
11.09.2013,Late,The Bones of What You Believe,,North American Tour - September/November 2013 - Announced 21.6.2013,,,USA,"Chicago, IL ",Metro,Headline Show,XXYYXX,,https://www.setlist.fm/setlist/chvrches/2013/metro-chicago-il-7bc64afc.html
13.09.2013,,The Bones of What You Believe,,North American Tour - September/November 2013 - Announced 21.6.2013,,,USA,"Columbus, OH ",Newport Music Hall,Headline Show,,,https://www.setlist.fm/setlist/chvrches/2013/newport-music-hall-columbus-oh-43c7bfdb.html
