Name,Description,Release Date,Type,Cover Original,Track Number,Appears On,Top Songs,Spotify,Apple Music,YouTube,Genius,SongBPM
Do I Wanna Know? (triple j Like a Version),,,"Core Track, Cover",Arctic Monkeys,,Do I Wanna Know? (triple j Like a Version),,,,https://www.youtube.com/watch?v=CjwwmFrsX_E
Miracle (IHF remix),,,"Bonus Track, Remix",,,Love Is Dead
Miracle (Mija remix),,,"Bonus Track, Remix",,,Love Is Dead
Miracle (The Juan Maclean remix),,,"Bonus Track, Remix",,,Love Is Dead
Graffiti (Hansa session),,,Bonus Track,,,Love Is Dead
Miracle (Hansa session),,,Bonus Track,,,Love Is Dead
Get Out (Hansa session),,,Bonus Track,,,Love Is Dead
Heaven / Hell (Hansa session),,,Bonus Track,,,Love Is Dead
Really Gone (Hansa session),,,Bonus Track,,,Love Is Dead
Asking for a Friend,,,Core Track,,1,Screen Violence
He Said She Said,,,Core Track,,2,Screen Violence,Top
California,,,Core Track,,3,Screen Violence,Top
Violent Delights,,,Core Track,,4,Screen Violence
How Not to Drown,,,Core Track,,5,Screen Violence,Top
Final Girl,,,Core Track,,6,Screen Violence
Good Girls,,,Core Track,,7,Screen Violence,Top
Lullabies,,,Core Track,,8,Screen Violence
Nightmares,,,Core Track,,9,Screen Violence
Better If You Don’t,,,Core Track,,10,Screen Violence
Asking for a Friend,,,Core Track,,1,Screen Violence: Director's Cut
He Said She Said,,,Core Track,,2,Screen Violence: Director's Cut
California,,,Core Track,,3,Screen Violence: Director's Cut
Violent Delights,,,Core Track,,4,Screen Violence: Director's Cut
How Not to Drown,,,Core Track,,5,Screen Violence: Director's Cut
Final Girl,,,Core Track,,6,Screen Violence: Director's Cut
Good Girls,,,Core Track,,7,Screen Violence: Director's Cut
Lullabies,,,Core Track,,8,Screen Violence: Director's Cut
Nightmares,,,Core Track,,9,Screen Violence: Director's Cut
Better If You Don’t,,,Core Track,,10,Screen Violence: Director's Cut
Killer,,,Core Track,,11,Screen Violence: Director's Cut
Screaming,,,Core Track,,12,Screen Violence: Director's Cut
